//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, -2.0, 2.5
3.4, 0, -2.0, 2.5
3.8, 0, -2.0, 2.5
4.2, 0, -2.0, 2.5
4.6, 0, -2.0, 2.5
5.0, 0, -2.0, 2.5
5.4, 0, -2.0, 2.5
5.8, 0, -2.0, 2.5

12.0, 1, -3.0, 6.0
12.0, 1, 3.0, 6.0
17.0, 2, 10.0, 3.0
17.0, 3, -10.0, 0.0
17.5, 2, 10.0, 3.0
17.5, 3, -10.0, 0.0
18.0, 2, 10.0, 3.0
18.0, 3, -10.0, 0.0
18.5, 2, 10.0, 3.0
18.5, 3, -10.0, 0.0
19.0, 2, 10.0, 3.0
19.0, 3, -10.0, 0.0
19.5, 2, 10.0, 3.0
19.5, 3, -10.0, 0.0
20.0, 2, 10.0, 3.0
20.0, 3, -10.0, 0.0
20.5, 2, 10.0, 3.0
20.5, 3, -10.0, 0.0
21.0, 2, 10.0, 3.0
21.0, 3, -10.0, 0.0
21.0, 4, 0.0, 6.0
21.5, 2, 10.0, 3.0
21.5, 3, -10.0, 0.0
22.0, 2, 10.0, 3.0
22.0, 3, -10.0, 0.0
