//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, -2.0, 6.0
3.1, 0, 2.0, 6.0

10.0, 1, -3.0, 6.0
10.2, 1, -2.8, 6.0
10.4, 1, -2.6, 6.0
10.6, 1, -2.4, 6.0
10.8, 1, -2.2, 6.0
11.0, 1, 3.0, 6.0
11.2, 1, 2.8, 6.0
11.4, 1, 2.6, 6.0
11.6, 1, 2.4, 6.0
11.8, 1, 2.2, 6.0
12.0, 0, 2.0, 6.0
12.1, 0, -2.0, 6.0

18.0, 2, 0.5, 6.0
18.0, 2, 5.0, 6.0
20.0, 1, -0.7, 6.0
20.3, 1, -0.5, 6.0
20.6, 1, -0.9, 6.0
20.9, 1, -1.3, 6.0
21.2, 1, -1.5, 6.0
21.5, 1, -1.1, 6.0
22.5, 1, 1.1, 6.0
22.8, 1, 1.5, 6.0
23.1, 1, 1.3, 6.0
23.4, 1, 0.9, 6.0
23.7, 1, 0.5, 6.0
24.0, 1, 0.7, 6.0
26.0, 2, -0.5, 6.0
26.0, 2, -5.0, 6.0

30.0, 3, 4.0, 6.0
30.7, 3, -2.0, 6.0
31.4, 3, 1.0, 6.0
32.1, 3, -3.0, 6.0
32.8, 3, -5.0, 6.0
33.5, 3, -4.0, 6.0
34.2, 3, 2.0, 6.0
34.9, 3, -1.0, 6.0
35.6, 3, 3.0, 6.0
36.3, 3, 5.0, 6.0
37.0, 3, 0.0, 6.0

42.0, 4, -10.0, 3.0
42.0, 4, 10.0, 3.0
43.0, 4, -10.0, 2.3
43.0, 4, 10.0, 2.3
44.0, 4, -10.0, 2.0
44.0, 4, 10.0, 2.0
45.0, 4, -10.0, 3.2
45.0, 4, 10.0, 3.2
46.0, 4, -10.0, 2.4
46.0, 4, 10.0, 2.4
47.0, 4, -10.0, 2.8
47.0, 4, 10.0, 2.8
48.0, 4, -10.0, 2.5
48.0, 4, 10.0, 2.5
49.0, 4, -10.0, 3.1
49.0, 4, 10.0, 3.1
50.0, 4, -10.0, 2.6
50.0, 4, 10.0, 2.6
51.0, 4, -10.0, 3.3
51.0, 4, 10.0, 3.3
52.0, 4, -10.0, 2.1
52.0, 4, 10.0, 2.1
53.0, 4, -10.0, 3.4
53.0, 4, 10.0, 3.4
54.0, 4, -10.0, 2.9
54.0, 4, 10.0, 2.9
55.0, 4, -10.0, 2.2
55.0, 4, 10.0, 2.2
56.0, 4, -10.0, 2.7
56.0, 4, 10.0, 2.7
58.0, 5, -5.0, -6.0
58.0, 5, 5.0, -6.0

65.0, 6, 0.0, 6.0
