//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, -0.5, 2.0
3.0, 0, 0.5, 2.0
3.1, 0, -1.5, 3.0
3.1, 0, 1.5, 3.0
3.2, 0, -1.5, 4.0
3.2, 0, 1.5, 4.0
3.3, 0, -0.5, 5.0
3.3, 0, 0.5, 5.0
10.0, 1, 4.0, 6.0
12.0, 1, -4.0, 6.5
13.0, 2, -4.0, 6.0
13.3, 2, -4.0, 6.1
13.6, 2, -4.0, 6.2
13.9, 2, -4.0, 6.3
14.0, 1, 2.0, 7.5
14.2, 2, -4.0, 6.4
14.5, 2, -4.0, 6.5
14.8, 2, -4.0, 6.6
15.1, 2, -4.0, 6.7
15.4, 2, -4.0, 6.8
15.7, 2, -4.0, 6.9
16.0, 1, -3.0, 7.0
16.0, 2, 4.0, 6.0
16.3, 2, 4.0, 6.1
16.6, 2, 4.0, 6.2
16.9, 2, 4.0, 6.3
17.2, 2, 4.0, 6.4
17.5, 2, 4.0, 6.5
17.8, 2, 4.0, 6.6
18.0, 1, 3.0, 6.0
18.1, 2, 4.0, 6.7
18.4, 2, 4.0, 6.8
18.7, 2, 4.0, 6.9
20.0, 1, -2.0, 6.5
