//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, 0.0, 6.0

15.0, 1, 2.0, 6.0
15.8, 1, 2.1, 6.0
16.6, 1, 2.2, 6.0
17.4, 1, 2.3, 6.0
18.2, 1, 2.4, 6.0
19.0, 1, 2.5, 6.0
19.5, 1, -2.0, 6.0
19.8, 1, 2.6, 6.0
20.3, 1, -2.1, 6.0
20.6, 1, 2.7, 6.0
21.1, 1, -2.2, 6.0
21.4, 1, 2.8, 6.0
21.9, 1, -2.3, 6.0
22.2, 1, 2.9, 6.0
22.7, 1, -2.4, 6.0
23.0, 1, 3.0, 6.0
23.5, 1, -2.5, 6.0
24.3, 1, -2.6, 6.0
25.1, 1, -2.7, 6.0
25.9, 1, -2.8, 6.0
26.7, 1, -2.9, 6.0
27.5, 1, -3.0, 6.0
30.0, 2, 3.0, 6.0

36.0, 3, 2.0, 6.0
36.4, 3, 4.0, 6.0
36.8, 3, 1.8, 6.0
37.2, 3, 3.8, 6.0
37.6, 3, 1.6, 6.0
38.0, 3, 3.6, 6.0
38.4, 3, 1.4, 6.0
38.8, 3, 3.4, 6.0
39.2, 3, 1.2, 6.0
39.6, 3, 3.2, 6.0
40.0, 3, 2.0, 6.0

45.0, 2, 0.0, 6.0
47.0, 0, -4.0, 6.0
47.0, 0, 4.0, 6.0
