//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, 0.0, 6.0
3.5, 0, -0.8, 6.0
3.5, 0, 0.8, 6.0
4.0, 0, -1.6, 6.0
4.0, 0, 1.6, 6.0
4.5, 0, -0.8, 6.0
4.5, 0, 0.8, 6.0
5.0, 0, 0.0, 6.0
8.0, 1, 3.0, 6.0
9.0, 1, -3.0, 6.0

15.0, 2, 2.0, 6.0
15.9, 2, -2.0, 6.1
16.8, 2, 4.0, 6.2
17.7, 2, -1.0, 6.3
18.6, 2, 0.0, 6.4
19.5, 2, 1.0, 6.5
20.0, 3, -10.0, 2.5
20.4, 2, -3.0, 6.6
21.3, 2, 3.0, 6.7
22.2, 2, -4.0, 6.8
25.0, 3, 10.0, 2.0

32.0, 4, -3.0, 4.0
32.1, 4, -2.0, 3.0
32.2, 4, -3.0, 2.0
32.3, 4, -4.0, 3.0
32.7, 4, -5.0, 5.0
32.8, 4, -5.0, 1.0
32.9, 4, -1.0, 1.0
33.0, 4, -1.0, 5.0
34.0, 0, 2.0, 6.0
34.5, 0, 3.0, 6.0
34.5, 0, 1.0, 6.0
35.0, 0, 2.0, 6.0
40.0, 4, 2.0, 5.0
40.1, 4, 3.0, 4.0
40.2, 4, 4.0, 3.0
40.3, 4, 5.0, 2.0
40.4, 4, 6.0, 1.0
40.6, 4, 6.0, 5.0
40.7, 4, 5.0, 4.0
40.9, 4, 3.0, 2.0
41.0, 4, 2.0, 1.0
43.0, 1, -1.0, 6.0

50.0, 5, 12.0, -1.0

53.0, 3, 10.0, 2.5
57.0, 2, 3.0, 6.0
57.0, 2, 4.0, 6.0
58.5, 2, -1.0, 6.0
58.5, 2, -2.0, 6.0
60.0, 2, 2.0, 6.0
60.0, 2, 3.0, 6.0
62.0, 2, -2.0, 6.0
62.0, 2, -3.0, 6.0
64.0, 2, -1.0, 6.0
64.0, 2, 1.0, 6.0

65.0, 6, 5.0, 6.0
65.3, 6, 5.2, 6.0
65.6, 6, 5.4, 6.0
65.9, 6, 5.6, 6.0
66.2, 6, 5.8, 6.0
66.5, 6, 6.0, 6.0
66.8, 6, 6.2, 6.0
67.1, 6, 6.4, 6.0
67.4, 6, 6.6, 6.0
67.7, 6, 6.8, 6.0
70.0, 6, -5.0, 6.0
70.3, 6, -5.2, 6.0
70.6, 6, -5.4, 6.0
70.9, 6, -5.6, 6.0
71.2, 6, -5.8, 6.0
71.5, 6, -6.0, 6.0
71.8, 6, -6.2, 6.0
72.1, 6, -6.4, 6.0
72.4, 6, -6.6, 6.0
72.7, 6, -6.8, 6.0

77.0, 4, -3.0, 4.0
77.1, 4, -3.8, 3.2
77.2, 4, -2.2, 3.2
77.3, 4, -3.0, 2.4
78.2, 4, 3.0, 0.4
78.3, 4, 2.2, 1.2
78.4, 4, 3.8, 1.2
78.5, 4, 3.0, 2.0
80.0, 7, 5.0, 6.0

86.0, 4, 4.0, 4.3
86.1, 4, 3.0, 4.1
86.2, 4, 2.0, 3.9
86.3, 4, 1.0, 3.7
87.2, 4, -4.0, 0.1
87.3, 4, -3.0, 0.3
87.4, 4, -2.0, 0.5
87.5, 4, -1.0, 0.7
88.5, 4, 0.0, 2.2
88.6, 4, -1.2, 3.4
88.6, 4, 1.2, 1.0
88.7, 4, -2.4, 4.0
88.7, 4, 2.4, 0.4
88.8, 4, -3.6, 3.4
88.8, 4, 3.6, 1.0

92.0, 8, -3.0, 6.0
94.0, 0, -1.5, 6.0
94.0, 0, -4.5, 6.0
95.5, 0, -1.5, 6.0
95.5, 0, -4.5, 6.0
97.0, 0, -1.5, 6.0
97.0, 0, -4.5, 6.0
100.0, 8, 3.0, 6.0
102.0, 4, 1.5, 4.5
102.5, 4, 4.5, 4.5
102.6, 4, 1.5, 2.5
102.7, 4, 4.5, 2.5
102.8, 4, 1.5, 0.5
102.9, 4, 4.5, 0.5
103.0, 4, 1.5, -1.5
103.1, 4, 4.5, -1.5
105.0, 7, -4.0, 6.0
