//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, 4.8, 6.0
3.4, 0, 5.0, 6.1
3.8, 0, 5.2, 6.2
4.2, 0, 5.4, 6.3
4.6, 0, 5.6, 6.4
5.0, 0, 5.8, 6.5
5.4, 0, 6.0, 6.6
5.8, 0, -4.8, 6.0
6.2, 0, -5.0, 6.1
6.6, 0, -5.2, 6.2
7.0, 0, -5.4, 6.3
7.4, 0, -5.6, 6.4
7.8, 0, -5.8, 6.5
8.2, 0, -6.0, 6.6

15.0, 1, 10.0, 6.0
16.0, 1, -10.0, 6.0

19.0, 2, 3.7, 6.0
19.5, 2, 2.5, 6.0
20.0, 2, 2.2, 6.0
20.5, 2, 3.1, 6.0
21.0, 2, 1.9, 6.0
21.5, 2, 2.8, 6.0
22.0, 2, 3.4, 6.0
22.5, 2, 1.3, 6.0
23.0, 2, 4.0, 6.0
23.5, 2, 1.6, 6.0
24.0, 2, 1.0, 6.0
